fips,data
1001,-71.6599190283
1003,-62.2669649515
1005,-59.8274799754
1007,-67.7274188364
1009,-29.0454611899
1011,-15.1561309977
1013,-60.9158465555
1015,-26.0053619303
1017,-28.7644518735
1019,0.895208004213
1021,-51.7666031374
1023,-71.6151202749
1025,-65.6951921292
1027,-40.1098901099
1029,-52.3910733262
1031,-59.8610191926
1033,2.78495020288
1035,-62.6643295355
1037,-45.3874538745
1039,-64.6417275603
1041,-57.2998430141
1043,-16.4554892504
1045,-67.6248108926
1047,-78.2187215995
1049,-15.2957288368
1051,-67.4068199841
1053,-48.9474381041
1055,-17.9230557341
1057,-42.7236315087
1059,-12.7752068434
1061,-61.4016172507
1063,-31.3450292398
1065,-55.2287581699
1067,-66.2076878944
1069,-76.213592233
1071,7.41120218579
1073,-44.7626645393
1075,-44.7305548182
1077,5.01752150366
1079,-0.0276472214542
1081,-57.2856952406
1083,12.1734296832
1085,-66.6845781838
1087,23.720349563
1089,-3.89383748409
1091,-64.523381295
1093,-39.6545768566
1095,-12.5074096028
1097,-41.3682086797
1099,-62.655426765
1101,-50.6757202189
1103,-12.8500689991
1105,-59.3114241002
1107,-63.2149901381
1109,-68.9301605726
1111,-25.0803858521
1113,-52.036199095
1117,-41.5
1115,-51.2176751193
1119,-60.6413994169
1121,-41.0044500954
1123,-52.1996965936
1125,-37.1020684625
1127,-16.5927240461
1129,-40.1808136615
1131,-83.8144329897
1133,-42.6273458445
