fips,data
19001,-28.323699422
19003,-25.4001391788
19005,-30.6429754555
19007,-4.55410748279
19009,-14.7509113001
19011,-6.47515348083
19013,-6.90724912947
19015,-3.20752807852
19017,-31.1714944886
19019,-9.8809377685
19021,-30.6851311953
19023,-43.3398310591
19025,-18.5550660793
19027,11.9000979432
19029,-41.5234102027
19031,-22.0793739519
19033,-8.89456935677
19035,-23.020672198
19037,-8.53274559194
19039,-9.03225806452
19041,-26.8877702102
19043,-16.4259485924
19045,-11.7757912539
19047,-15.7394636015
19049,-1.24496864177
19051,0.1998001998
19053,-4.59550023935
19055,-18.6904268545
19057,9.47069346522
19059,-21.4526394609
19061,17.8580919479
19063,-26.1891541736
19065,-20.902119982
19067,-22.7331107115
19069,-31.8480206883
19071,-21.6100628931
19073,-22.6704894532
19075,-39.8732171157
19077,-21.9128096793
19079,-18.7681259495
19081,-22.7881040892
19083,-18.7126319807
19085,-23.5033259424
19087,-26.4819944598
19089,-8.9827041101
19091,-18.9506656226
19093,-23.8188976378
19095,-17.7045562037
19097,-7.01804640504
19099,-3.08437067773
19101,-22.4735094101
19103,14.3114976004
19105,-12.2886133033
19107,-7.96742775028
19109,-4.96801705757
19111,-2.18840323247
19113,1.20998570621
19115,-21.2730318258
19117,-7.85525154457
19119,-49.3052947803
19121,-13.1583915424
19123,-16.8852081896
19125,-5.329214134
19127,-14.2132995398
19129,-44.9845861987
19131,-27.8899082569
19133,-13.4179161861
19135,2.52607184241
19137,-37.1843538538
19139,-23.7810449373
19141,-40.4072883173
19143,-27.7611940299
19145,-45.5962967475
19147,-4.85088034495
19149,-28.7235210185
19151,-8.80065493246
19153,4.10514238809
19155,-25.9789410574
19157,-10.0303951368
19159,-21.7161716172
19161,-28.5388127854
19163,-6.35783315876
19165,-20.4440919905
19167,-60.3059923502
19169,-9.86913849509
19171,-4.43717888837
19173,-28.1167743479
19175,-23.2951445717
19177,-22.8257810301
19179,8.89310999827
19181,-2.62786097768
19183,-24.6992782678
19185,-16.9661610268
19187,-0.512407162186
19189,-24.1027509565
19191,-22.0046082949
19193,-5.56331110077
19195,-11.5942028986
19197,-19.6598739188
