fips,data
19001,-42.4453595185
19003,-38.6968085106
19005,-44.447081158
19007,-11.8804739825
19009,-23.7768240343
19011,-24.4899970435
19013,-24.5725706589
19015,-23.4820661092
19017,-48.456756462
19019,-36.1058201058
19021,-39.7016584823
19023,-55.1976573939
19025,-38.1953345296
19027,-28.7116775749
19029,-51.5869744435
19031,-43.2448103908
19033,-22.5082324568
19035,-41.2676056338
19037,-26.4509631122
19039,-32.0870994248
19041,-47.0512369563
19043,-34.5556627774
19045,-31.682871461
19047,-29.0071975323
19049,-28.0358142138
19051,-16.6484118291
19053,-17.9094757408
19055,-46.5681818182
19057,-16.7529231359
19059,-43.1452268662
19061,-10.8317748413
19063,-43.4176111595
19065,-35.0350424198
19067,-40.2649138532
19069,-47.3484334735
19071,-29.1659588925
19073,-41.4146726269
19075,-58.4302733006
19077,-40.4283102638
19079,-43.0671839902
19081,-42.7176339286
19083,-42.1741091565
19085,-27.8527081995
19087,-44.9785601444
19089,-25.3457562964
19091,-36.197056173
19093,-40.6625948547
19095,-38.2233689642
19097,-31.2381165418
19099,-17.4385922033
19101,-39.012345679
19103,-16.395481397
19105,-33.9807968215
19107,-29.1285181417
19109,-28.4001653576
19111,-17.5193650186
19113,-17.9789853574
19115,-37.4345549738
19117,-27.761485826
19119,-57.4071095384
19121,-39.954916878
19123,-32.6075220443
19125,-15.9291319473
19127,-35.3881694936
19129,-38.4192439863
19131,-39.7923875433
19133,-24.861593923
19135,-7.22851432378
19137,-46.2029125045
19139,-23.7163814181
19141,-52.9714653508
19143,-43.8116321191
19145,-53.6189069424
19147,-21.1122825514
19149,-49.2482581591
19151,-27.9725282587
19153,-9.00439173174
19155,-22.7241726479
19157,-29.576567972
19159,-41.9381443299
19161,-44.7225981055
19163,-25.0641753987
19165,-30.0493858427
19167,-66.7342799189
19169,-44.6752975569
19171,-26.8025500584
19173,-44.1802252816
19175,-38.2282137699
19177,-42.0965669176
19179,-5.09536784741
19181,-32.0451245393
19183,-45.4659685864
19185,-23.0745532964
19187,-17.3906837322
19189,-41.1946288007
19191,-33.5448945305
19193,-17.1178072863
19195,-23.0055658627
19197,-34.6595570139
