fips,X
19001,-28.90765494755716
19003,-29.26844969245039
19005,-13.77453880901486
19007,-16.71233547358862
19009,-28.72889801087755
19011,-23.26354364058173
19013,-23.17847703722493
19015,-18.05275661260626
19017,-30.447532691587
19019,-24.92004878158454
19021,-14.75586243097827
19023,-20.86523496162109
19025,-22.64808977589358
19027,-36.05780027596413
19029,-24.7635100611154
19031,-18.81829576024366
19033,-16.43140875862185
19035,-26.80224085077666
19037,-24.96166561822412
19039,-13.50381980062882
19041,-29.91221367159395
19043,-22.08333492448804
19045,-13.76346308130145
19047,-29.5791888293121
19049,-10.62370479511687
19051,-17.70637353556542
19053,-19.88689975381957
19055,-22.43742319091846
19057,-16.87543635770471
19059,-30.14629181952229
19061,-37.91474226856466
19063,-18.34645471293742
19065,-18.63435501515467
19067,-17.16668024133675
19069,-26.59993145474617
19071,-25.12499495526504
19073,-23.30828485240249
19075,-25.88506405358182
19077,-29.67589423446829
19079,-23.96206473868326
19081,-16.83108709204951
19083,-19.06873614190688
19085,-21.82741963335223
19087,-19.38968448546788
19089,-23.38618082282395
19091,-20.28126702568478
19093,-18.01172837243082
19095,-19.71936674463791
19097,-24.72464722350086
19099,-13.13943745631229
19101,-21.60724240566424
19103,-8.255421096355656
19105,-20.92409309247249
19107,-17.96553017946133
19109,-22.32965671420683
19111,-28.63309749424817
19113,-13.57692056362198
19115,-15.93198054146297
19117,-15.08857780290928
19119,-13.01153065326947
19121,-12.62012495292229
19123,-19.72893175930226
19125,-16.4415113979926
19127,-21.86526208130913
19129,-26.34234063550904
19131,-36.16495224685831
19133,-32.37730851785113
19135,-14.23630462383493
19137,-18.88939897430714
19139,-19.63816911761587
19141,-18.95722636490503
19143,-20.5129809043602
19145,-18.43234394543231
19147,-15.82450050454087
19149,-30.3149488672922
19151,-25.08917823131964
19153,-14.5641411043293
19155,-30.61493341273021
19157,-16.37731885731068
19159,-33.39570369725715
19161,-22.68467847839437
19163,-15.78351119150246
19165,-29.27251112839128
19167,-14.3873877827084
19169,-4.16218979670202
19171,-18.46724491331571
19173,-22.36240001473579
19175,-14.17495812531886
19177,-21.0938952579032
19179,-22.37428411586086
19181,-15.82149351152713
19183,-9.25333709235085
19185,-17.55347321521226
19187,-18.46668971454093
19189,-23.73744537004119
19191,-23.06599785303057
19193,-12.45401745543028
19195,-28.11231215093018
19197,-16.49613798925659
