fips,data
22001,-21.677089756
22003,-1.52220405082
22005,-11.3664205542
22007,8.67845993757
22009,-4.47612259444
22011,-33.0287648054
22013,2.15504340018
22015,-32.1159370822
22017,0.766401305956
22019,-5.78709811819
22021,-34.9137931034
22023,-28.7487586892
22025,-25.788336933
22027,-10.85995086
22029,-12.9087359688
22031,-2.1756021756
22033,-7.61391900703
22035,18.8846641318
22037,-2.28506501704
22039,-11.6984601241
22041,-31.5266707541
22043,-39.0091529856
22045,-18.8771639423
22047,19.9741527858
22049,-25.4726511762
22051,-19.7202047727
22053,-14.7270174279
22055,-28.1457697441
22057,-11.8908499488
22059,-53.1286696863
22061,-14.8785487979
22063,-38.6689695518
22065,7.84228769497
22067,-11.332774518
22069,-2.86195286195
22071,55.4842572613
22073,-24.1319567216
22075,-17.497902489
22077,10.4818017676
22079,-20.8112468311
22081,-0.525474068997
22083,-19.7260609025
22085,-33.8139534884
22087,-16.3689730465
22089,-14.6562036461
22091,21.775477707
22093,26.2190402477
22095,13.5251630941
22097,7.8111946533
22099,-0.54506914303
22101,-6.96071023801
22103,-44.522981139
22105,-12.6240900066
22107,8.5910652921
22109,-19.3125839678
22111,-28.5952990977
22113,-17.8829190056
22115,-30.7755223437
22117,-9.66914906605
22119,-13.3778660408
22121,1.34241634943
22123,-41.8814716898
22125,-6.91636518408
22127,-30.0403551251
