fips,candidate,party,candidatevotes,mode
1001,BARACK OBAMA,DEMOCRAT,6093,TOTAL
1001,JOHN MCCAIN,REPUBLICAN,17403,TOTAL
1001,OTHER,OTHER,145,TOTAL
1003,BARACK OBAMA,DEMOCRAT,19386,TOTAL
1003,JOHN MCCAIN,REPUBLICAN,61271,TOTAL
1003,OTHER,OTHER,756,TOTAL
1005,BARACK OBAMA,DEMOCRAT,5697,TOTAL
1005,JOHN MCCAIN,REPUBLICAN,5866,TOTAL
1005,OTHER,OTHER,67,TOTAL
1007,BARACK OBAMA,DEMOCRAT,2299,TOTAL
1007,JOHN MCCAIN,REPUBLICAN,6262,TOTAL
1007,OTHER,OTHER,83,TOTAL
1009,BARACK OBAMA,DEMOCRAT,3522,TOTAL
1009,JOHN MCCAIN,REPUBLICAN,20389,TOTAL
1009,OTHER,OTHER,356,TOTAL
1011,BARACK OBAMA,DEMOCRAT,4011,TOTAL
1011,JOHN MCCAIN,REPUBLICAN,1391,TOTAL
1011,OTHER,OTHER,13,TOTAL
1013,BARACK OBAMA,DEMOCRAT,4188,TOTAL
1013,JOHN MCCAIN,REPUBLICAN,5485,TOTAL
1013,OTHER,OTHER,36,TOTAL
1015,BARACK OBAMA,DEMOCRAT,16334,TOTAL
1015,JOHN MCCAIN,REPUBLICAN,32348,TOTAL
1015,OTHER,OTHER,560,TOTAL
1017,BARACK OBAMA,DEMOCRAT,6799,TOTAL
1017,JOHN MCCAIN,REPUBLICAN,8067,TOTAL
1017,OTHER,OTHER,90,TOTAL
1019,BARACK OBAMA,DEMOCRAT,2306,TOTAL
1019,JOHN MCCAIN,REPUBLICAN,7298,TOTAL
1019,OTHER,OTHER,141,TOTAL
1021,BARACK OBAMA,DEMOCRAT,3674,TOTAL
1021,JOHN MCCAIN,REPUBLICAN,13960,TOTAL
1021,OTHER,OTHER,151,TOTAL
1023,BARACK OBAMA,DEMOCRAT,3636,TOTAL
1023,JOHN MCCAIN,REPUBLICAN,4223,TOTAL
1023,OTHER,OTHER,35,TOTAL
1025,BARACK OBAMA,DEMOCRAT,5914,TOTAL
1025,JOHN MCCAIN,REPUBLICAN,7466,TOTAL
