year,state,county_name,fips,candidate,party,candidatevotes,totalvotes,mode
2012,ALABAMA,AUTAUGA,1001,BARACK OBAMA,DEMOCRAT,6363,23932,TOTAL
2012,ALABAMA,AUTAUGA,1001,MITT ROMNEY,REPUBLICAN,17379,23932,TOTAL
2012,ALABAMA,AUTAUGA,1001,OTHER,OTHER,190,23932,TOTAL
2012,ALABAMA,BALDWIN,1003,BARACK OBAMA,DEMOCRAT,18424,85338,TOTAL
2012,ALABAMA,BALDWIN,1003,MITT ROMNEY,REPUBLICAN,66016,85338,TOTAL
2012,ALABAMA,BALDWIN,1003,OTHER,OTHER,898,85338,TOTAL
2012,ALABAMA,BARBOUR,1005,BARACK OBAMA,DEMOCRAT,5912,11509,TOTAL
2012,ALABAMA,BARBOUR,1005,MITT ROMNEY,REPUBLICAN,5550,11509,TOTAL
2012,ALABAMA,BARBOUR,1005,OTHER,OTHER,47,11509,TOTAL
2012,ALABAMA,BIBB,1007,BARACK OBAMA,DEMOCRAT,2202,8420,TOTAL
2012,ALABAMA,BIBB,1007,MITT ROMNEY,REPUBLICAN,6132,8420,TOTAL
2012,ALABAMA,BIBB,1007,OTHER,OTHER,86,8420,TOTAL
2012,ALABAMA,BLOUNT,1009,BARACK OBAMA,DEMOCRAT,2970,24006,TOTAL
2012,ALABAMA,BLOUNT,1009,MITT ROMNEY,REPUBLICAN,20757,24006,TOTAL
2012,ALABAMA,BLOUNT,1009,OTHER,OTHER,279,24006,TOTAL
2012,ALABAMA,BULLOCK,1011,BARACK OBAMA,DEMOCRAT,4061,5322,TOTAL
2012,ALABAMA,BULLOCK,1011,MITT ROMNEY,REPUBLICAN,1251,5322,TOTAL
2012,ALABAMA,BULLOCK,1011,OTHER,OTHER,10,5322,TOTAL
2012,ALABAMA,BUTLER,1013,BARACK OBAMA,DEMOCRAT,4374,9496,TOTAL
2012,ALABAMA,BUTLER,1013,MITT ROMNEY,REPUBLICAN,5087,9496,TOTAL
2012,ALABAMA,BUTLER,1013,OTHER,OTHER,35,9496,TOTAL
2012,ALABAMA,CALHOUN,1015,BARACK OBAMA,DEMOCRAT,15511,46257,TOTAL
2012,ALABAMA,CALHOUN,1015,MITT ROMNEY,REPUBLICAN,30278,46257,TOTAL
2012,ALABAMA,CALHOUN,1015,OTHER,OTHER,468,46257,TOTAL
2012,ALABAMA,CHAMBERS,1017,BARACK OBAMA,DEMOCRAT,6871,14611,TOTAL
2012,ALABAMA,CHAMBERS,1017,MITT ROMNEY,REPUBLICAN,7626,14611,TOTAL
2012,ALABAMA,CHAMBERS,1017,OTHER,OTHER,114,14611,TOTAL
2012,ALABAMA,CHEROKEE,1019,BARACK OBAMA,DEMOCRAT,2132,9779,TOTAL
2012,ALABAMA,CHEROKEE,1019,MITT ROMNEY,REPUBLICAN,7506,9779,TOTAL
2012,ALABAMA,CHEROKEE,1019,OTHER,OTHER,141,9779,TOTAL
2012,ALABAMA,CHILTON,1021,BARACK OBAMA,DEMOCRAT,3397,17462,TOTAL
2012,ALABAMA,CHILTON,1021,MITT ROMNEY,REPUBLICAN,13932,17462,TOTAL
2012,ALABAMA,CHILTON,1021,OTHER,OTHER,133,17462,TOTAL
2012,ALABAMA,CHOCTAW,1023,BARACK OBAMA,DEMOCRAT,3786,7968,TOTAL
2012,ALABAMA,CHOCTAW,1023,MITT ROMNEY,REPUBLICAN,4152,7968,TOTAL
2012,ALABAMA,CHOCTAW,1023,OTHER,OTHER,30,7968,TOTAL
2012,ALABAMA,CLARKE,1025,BARACK OBAMA,DEMOCRAT,6334,13851,TOTAL
2012,ALABAMA,CLARKE,1025,MITT ROMNEY,REPUBLICAN,7470,13851,TOTAL
2012,ALABAMA,CLARKE,1025,OTHER,OTHER,47,13851,TOTAL
2012,ALABAMA,CLAY,1027,BARACK OBAMA,DEMOCRAT,1777,6662,TOTAL
2012,ALABAMA,CLAY,1027,MITT ROMNEY,REPUBLICAN,4817,6662,TOTAL
2012,ALABAMA,CLAY,1027,OTHER,OTHER,68,6662,TOTAL
2012,ALABAMA,CLEBURNE,1029,BARACK OBAMA,DEMOCRAT,971,6305,TOTAL
2012,ALABAMA,CLEBURNE,1029,MITT ROMNEY,REPUBLICAN,5272,6305,TOTAL
2012,ALABAMA,CLEBURNE,1029,OTHER,OTHER,62,6305,TOTAL
