fips,party,data
1001,DEMOCRAT,7503
1001,OTHER,429
1001,REPUBLICAN,19838
1003,DEMOCRAT,24578
1003,OTHER,1557
1003,REPUBLICAN,83544
1005,DEMOCRAT,4816
1005,OTHER,80
1005,REPUBLICAN,5622
1007,DEMOCRAT,1986
1007,OTHER,84
1007,REPUBLICAN,7525
1009,DEMOCRAT,2640
1009,OTHER,237
1009,REPUBLICAN,24711
1011,DEMOCRAT,3446
1011,OTHER,21
1011,REPUBLICAN,1146
1013,DEMOCRAT,3965
1013,OTHER,65
1013,REPUBLICAN,5458
1015,DEMOCRAT,15216
1015,OTHER,666
1015,REPUBLICAN,35101
1017,DEMOCRAT,6365
1017,OTHER,166
1017,REPUBLICAN,8753
1019,DEMOCRAT,1624
1019,OTHER,94
1019,REPUBLICAN,10583
1021,DEMOCRAT,3073
1021,OTHER,152
1021,REPUBLICAN,16085
1023,DEMOCRAT,3127
1023,OTHER,41
1023,REPUBLICAN,4296
1025,DEMOCRAT,5755
1025,OTHER,56
1025,REPUBLICAN,7324
1027,DEMOCRAT,1267
1027,OTHER,62
1027,REPUBLICAN,5601
1029,DEMOCRAT,675
1029,OTHER,68
1029,REPUBLICAN,6484
1031,DEMOCRAT,5076
1031,OTHER,300
1031,REPUBLICAN,16899
1033,DEMOCRAT,8343
1033,OTHER,340
1033,REPUBLICAN,19203
1035,DEMOCRAT,2966
1035,OTHER,33
1035,REPUBLICAN,3442
1037,DEMOCRAT,1796
1037,OTHER,52
1037,REPUBLICAN,3631
1039,DEMOCRAT,2721
1039,OTHER,123
1039,REPUBLICAN,14586
1041,DEMOCRAT,1700
1041,OTHER,53
1041,REPUBLICAN,4864
1043,DEMOCRAT,4478
1043,OTHER,493
1043,REPUBLICAN,36880
1045,DEMOCRAT,5170
1045,OTHER,265
1045,REPUBLICAN,14303
1047,DEMOCRAT,12230
1047,OTHER,110
1047,REPUBLICAN,5524
1049,DEMOCRAT,4281
1049,OTHER,308
1049,REPUBLICAN,24767
1051,DEMOCRAT,10367
1051,OTHER,499
1051,REPUBLICAN,30164
1053,DEMOCRAT,4918
1053,OTHER,123
1053,REPUBLICAN,10869
1055,DEMOCRAT,11567
1055,OTHER,633
1055,REPUBLICAN,35528
1057,DEMOCRAT,1395
1057,OTHER,71
1057,REPUBLICAN,7300
1059,DEMOCRAT,2086
1059,OTHER,116
1059,REPUBLICAN,10376
1061,DEMOCRAT,1595
1061,OTHER,102
1061,REPUBLICAN,10848
1063,DEMOCRAT,3884
1063,OTHER,16
1063,REPUBLICAN,875
1065,DEMOCRAT,4663
1065,OTHER,45
1065,REPUBLICAN,3192
1067,DEMOCRAT,2606
1067,OTHER,85
1067,REPUBLICAN,6607
1069,DEMOCRAT,12917
1069,OTHER,638
1069,REPUBLICAN,32618
1071,DEMOCRAT,3717
1071,OTHER,249
1071,REPUBLICAN,19670
1073,DEMOCRAT,181688
1073,OTHER,5317
1073,REPUBLICAN,138843
1075,DEMOCRAT,978
1075,OTHER,41
1075,REPUBLICAN,6174
1077,DEMOCRAT,11915
1077,OTHER,703
1077,REPUBLICAN,31721
1079,DEMOCRAT,3562
1079,OTHER,147
1079,REPUBLICAN,12322
1081,DEMOCRAT,27860
1081,OTHER,1368
1081,REPUBLICAN,42221
1083,DEMOCRAT,13672
1083,OTHER,923
1083,REPUBLICAN,34640
1085,DEMOCRAT,4972
1085,OTHER,27
1085,REPUBLICAN,1836
1087,DEMOCRAT,7108
1087,OTHER,74
1087,REPUBLICAN,1541
1089,DEMOCRAT,87286
1089,OTHER,4701
1089,REPUBLICAN,102780
1091,DEMOCRAT,5488
1091,OTHER,69
1091,REPUBLICAN,5343
1093,DEMOCRAT,1463
1093,OTHER,139
1093,REPUBLICAN,12205
1095,DEMOCRAT,5943
1095,OTHER,521
1095,REPUBLICAN,33191
1097,DEMOCRAT,79474
1097,OTHER,2447
1097,REPUBLICAN,101243
1099,DEMOCRAT,4455
1099,OTHER,66
1099,REPUBLICAN,6147
1101,DEMOCRAT,64529
1101,OTHER,1299
1101,REPUBLICAN,33311
1103,DEMOCRAT,13234
1103,OTHER,824
1103,REPUBLICAN,39664
1105,DEMOCRAT,3860
1105,OTHER,31
1105,REPUBLICAN,1339
1107,DEMOCRAT,4022
1107,OTHER,52
1107,REPUBLICAN,5594
1109,DEMOCRAT,5636
1109,OTHER,163
1109,REPUBLICAN,8042
1111,DEMOCRAT,2203
1111,OTHER,75
1111,REPUBLICAN,8559
1113,DEMOCRAT,11228
1113,OTHER,237
1113,REPUBLICAN,9864
1115,DEMOCRAT,7744
1115,OTHER,531
1115,REPUBLICAN,36166
1117,DEMOCRAT,33268
1117,OTHER,1982
1117,REPUBLICAN,79700
1119,DEMOCRAT,4648
1119,OTHER,45
1119,REPUBLICAN,1598
1121,DEMOCRAT,13138
1121,OTHER,290
1121,REPUBLICAN,22235
1123,DEMOCRAT,5859
1123,OTHER,169
1123,REPUBLICAN,14963
1125,DEMOCRAT,37765
1125,OTHER,1290
1125,REPUBLICAN,51117
1127,DEMOCRAT,4834
1127,OTHER,334
1127,REPUBLICAN,26002
1129,DEMOCRAT,2258
1129,OTHER,54
1129,REPUBLICAN,6564
1131,DEMOCRAT,4048
1131,OTHER,22
1131,REPUBLICAN,1833
1133,DEMOCRAT,974
1133,OTHER,115
1133,REPUBLICAN,10195
2001,DEMOCRAT,3477
2001,GREEN,50
2001,LIBERTARIAN,216
2001,OTHER,60
2001,REPUBLICAN,3511
2002,DEMOCRAT,2104
2002,GREEN,30
2002,LIBERTARIAN,287
2002,OTHER,41
2002,REPUBLICAN,3674
2003,DEMOCRAT,1903
2003,GREEN,42
2003,LIBERTARIAN,316
2003,OTHER,48
2003,REPUBLICAN,6076
2004,DEMOCRAT,5345
2004,GREEN,93
2004,LIBERTARIAN,323
2004,OTHER,60
2004,REPUBLICAN,4690
2005,DEMOCRAT,4204
2005,GREEN,68
2005,LIBERTARIAN,259
2005,OTHER,46
2005,REPUBLICAN,4077
2006,DEMOCRAT,3272
2006,GREEN,83
2006,LIBERTARIAN,266
2006,OTHER,69
2006,REPUBLICAN,5770
2007,DEMOCRAT,2215
2007,GREEN,54
2007,LIBERTARIAN,272
2007,OTHER,54
2007,REPUBLICAN,7027
2008,DEMOCRAT,1953
2008,GREEN,48
2008,LIBERTARIAN,241
2008,OTHER,52
2008,REPUBLICAN,7618
2009,DEMOCRAT,2769
2009,GREEN,77
2009,LIBERTARIAN,301
2009,OTHER,59
2009,REPUBLICAN,7787
2010,DEMOCRAT,2727
2010,GREEN,64
2010,LIBERTARIAN,286
2010,OTHER,47
2010,REPUBLICAN,8081
2011,DEMOCRAT,3130
2011,GREEN,88
2011,LIBERTARIAN,269
2011,OTHER,45
2011,REPUBLICAN,7096
2012,DEMOCRAT,2957
2012,GREEN,54
2012,LIBERTARIAN,288
2012,OTHER,46
2012,REPUBLICAN,7893
2013,DEMOCRAT,2666
2013,GREEN,40
2013,LIBERTARIAN,308
2013,OTHER,47
2013,REPUBLICAN,4652
2014,DEMOCRAT,4261
2014,GREEN,50
2014,LIBERTARIAN,356
2014,OTHER,62
2014,REPUBLICAN,6714
2015,DEMOCRAT,2622
2015,GREEN,36
2015,LIBERTARIAN,197
2015,OTHER,33
2015,REPUBLICAN,2671
2016,DEMOCRAT,4274
2016,GREEN,64
2016,LIBERTARIAN,210
2016,OTHER,54
2016,REPUBLICAN,3516
2017,DEMOCRAT,4136
2017,GREEN,64
2017,LIBERTARIAN,184
2017,OTHER,45
2017,REPUBLICAN,2810
2018,DEMOCRAT,4681
2018,GREEN,79
2018,LIBERTARIAN,157
2018,OTHER,43
2018,REPUBLICAN,2760
2019,DEMOCRAT,3118
2019,GREEN,52
2019,LIBERTARIAN,110
2019,OTHER,46
2019,REPUBLICAN,1975
2020,DEMOCRAT,4881
2020,GREEN,53
2020,LIBERTARIAN,153
2020,OTHER,27
2020,REPUBLICAN,2383
2021,DEMOCRAT,5414
2021,GREEN,70
2021,LIBERTARIAN,203
2021,OTHER,52
2021,REPUBLICAN,3690
2022,DEMOCRAT,4553
2022,GREEN,46
2022,LIBERTARIAN,200
2022,OTHER,37
2022,REPUBLICAN,4684
2023,DEMOCRAT,3810
2023,GREEN,53
2023,LIBERTARIAN,170
2023,OTHER,51
2023,REPUBLICAN,3655
2024,DEMOCRAT,4736
2024,GREEN,46
2024,LIBERTARIAN,222
2024,OTHER,46
2024,REPUBLICAN,5378
2025,DEMOCRAT,4600
2025,GREEN,67
2025,LIBERTARIAN,201
2025,OTHER,50
2025,REPUBLICAN,4407
2026,DEMOCRAT,4558
2026,GREEN,55
2026,LIBERTARIAN,207
2026,OTHER,48
2026,REPUBLICAN,5243
2027,DEMOCRAT,4844
2027,GREEN,59
2027,LIBERTARIAN,228
2027,OTHER,51
2027,REPUBLICAN,4324
2028,DEMOCRAT,6264
2028,GREEN,69
2028,LIBERTARIAN,219
2028,OTHER,35
2028,REPUBLICAN,6162
