fips,data
1001,96.8599033816
1003,88.2916053019
1005,97.7116704805
1007,95.9183673469
1009,72.3218390805
1011,98.1132075472
1013,96.0655737705
1015,90.7883082374
1017,96.1614824619
1019,92.0855614973
1021,34.6502936466
1023,99.2207792208
1025,99.2343032159
1027,100
1029,78.2857142857
1031,98.1687377371
1033,92.2378199835
1035,98.0629539952
1037,86.0402684564
1039,87.9852125693
1041,98.8412514484
1043,55.9773828756
1045,92.9155313351
1047,97.6508275494
1049,28.1354125017
1051,98.4220907298
1053,96.6602440591
1055,82.8029504742
1057,46.8584405753
1059,44.8584202683
1061,91.6814159292
1063,99.2831541219
1065,98.9106753813
1067,98.9115646259
1069,91.2322274882
1071,84.5970149254
1073,90.7547828294
1075,92.3419412289
1077,87.6721763085
1079,78.397839784
1081,94.4031981725
1083,98.1518151815
1085,96.9407265774
1087,96.2095875139
1089,93.8020351526
1091,98.7899740709
1093,77.8534923339
1095,76.1011774967
1097,87.6088412592
1099,98.9323843416
1101,92.2611135726
1103,89.826916284
1105,99.2346938776
1107,96.3898916968
1109,98.3618763961
1111,82.338902148
1113,97.5283213182
1117,81.929726715
1115,64.089347079
1119,97.2677595628
1121,91.5019762846
1123,96.8363816115
1125,90.0052882073
1127,58.5331050228
1129,96.8042609854
1131,100
1133,3.92883617494
