fips,data
1001,-59.7724502235
1003,-60.2746574134
1005,-22.6338246703
1007,-51.8377025425
1009,-68.8203180631
1011,23.3956316145
1013,-27.5146484375
1015,-45.5377677565
1017,-24.7139946717
1019,-40.8727438885
1021,-61.8585212956
1023,-13.7277101613
1025,-25.1581420568
1027,-52.0987654321
1029,-58.4476534296
1031,-58.8960249957
1033,-19.6027227193
1035,-16.2597402597
1037,-27.5409836066
1039,-61.5849374737
1041,-46.8458379993
1043,-58.9811789875
1045,-57.3243395166
1047,4.69783855315
1049,-49.0704674221
1051,-61.4895355861
1053,-41.5084831178
1055,-35.5661274976
1057,-47.9728865584
1059,-35.6895239706
1061,-66.8446083665
1063,43.5547734272
1065,0.726456214503
1067,-41.470917226
1069,-54.9866516791
1071,-25.496807152
1073,-16.5129384545
1075,-46.4423935695
1077,-33.3831217326
1079,-22.8827242037
1081,-34.9509882693
1083,-48.3934611048
1085,23.7611626685
1087,49.2658338812
1089,-36.410288406
1091,-15.3181773057
1093,-48.4331614439
1095,-55.9050503077
1097,-25.9331786418
1099,-28.8798631894
1101,-9.11916497536
1103,-50.7573288133
1105,25.4814814815
1107,-23.2394366197
1109,-37.1304347826
1111,-41.9176185531
1113,-4.78949639401
1117,-70.490918206
1115,-67.3179396092
1119,32.206068268
1121,-32.5173398613
1123,-47.126042738
1125,-38.142554899
1127,-42.3052385341
1129,-32.0598215408
1131,25.3891771683
1133,-65.0266745702
