fips,data
19001,6.14820846906
19003,7.75950668037
19005,22.7669404517
19007,13.2334837915
19009,30.1089324619
19011,27.8702338319
19013,-0.292457321635
19015,17.792366752
19017,36.4518976169
19019,6.41148325359
19021,20.9203451294
19023,14.4318181818
19025,29.0017720024
19027,52.0076279267
19029,1.44961421557
19031,18.023764853
19033,8.93023834713
19035,29.3082107
19037,32.2589098532
19039,18.582278481
19041,20.556319731
19043,32.713150289
19045,16.1590992986
19047,44.5473984319
19049,3.94554929278
19051,31.2059514487
19053,25.1437532671
19055,5.44697582977
19057,25.3920587254
19059,9.31351114998
19061,48.0140231922
19063,7.73564463705
19065,19.6328562539
19067,5.55170020819
19069,30.5263157895
19071,32.4378971693
19073,7.57783434502
19075,20.4276315789
19077,8.05439330544
19079,38.0401542348
19081,23.7493929092
19083,17.5424224693
19085,35.7769652651
19087,14.1485598787
19089,26.5071190548
19091,16.059602649
19093,43.2035986701
19095,24.957167333
19097,27.5732531931
19099,11.3464696223
19101,15.703893881
19103,23.0207748456
19105,17.1793658306
19107,25.8269583019
19109,38.5
19111,19.9909645358
19113,-2.8551034975
19115,16.5476433381
19117,18.1083404987
19119,35.5653338435
19121,4.6544933763
19123,9.09090909091
19125,31.3324660844
19127,-1.68604203557
19129,22.942206655
19131,21.8493892067
19133,43.4827675564
19135,20.3757693554
19137,3.48149167469
19139,2.09012159262
19141,16.7185069984
19143,37.037037037
19145,3.744
19147,26.5142150803
19149,44.7431359418
19151,40.4466501241
19153,-3.82361916387
19155,27.0932581272
19157,14.2400786337
19159,8.72424375274
19161,14.1721491228
19163,8.58061404919
19165,33.1895389593
19167,22.021160882
19169,-8.86607936636
19171,24.6675964668
19173,8.38908903757
19175,13.1811697575
19177,13.7931034483
19179,13.4128878282
19181,-2.51823310857
19183,7.87634726993
19185,25.5356855164
19187,26.1549295775
19189,23.9750614019
19191,34.1657654115
19193,34.812696305
19195,21.9399538106
19197,20.2834799609
