fips,data
1001,95.5465587045
1003,81.4922884535
1005,98.9569752282
1007,95.761589404
1009,63.7160385627
1011,100
1013,97.6699029126
1015,90.6165413534
1017,98.1526494895
1019,83.5766423358
1021,35.6647238412
1023,100
1025,99.7297297297
1027,59.7813354159
1029,44.5420326223
1031,98.4440454817
1033,83.7966101695
1035,99.5583364004
1037,83.1385642738
1039,98.0056980057
1041,98.9683124539
1043,39.7464167585
1045,93.0724823605
1047,98.7969924812
1049,22.8485370052
1051,97.6762199845
1053,98.3063895304
1055,87.1917154926
1057,51.1136493432
1059,20.4901566894
1061,95.0202663578
1063,98.6928104575
1065,99.7931747673
1067,99.1507430998
1069,94.1358024691
1071,59.2835299257
1073,87.8301529129
1075,91.8624641834
1077,84.9898580122
1079,77.7408637874
1081,96.1826857532
1083,98.250128667
1085,99.7175141243
1087,97.2413793103
1089,93.8086780005
1091,99.2570579495
1093,58.7565674256
1095,75.0092421442
1097,83.0039525692
1099,99.2193598751
1101,95.1115485564
1103,88.567839196
1105,99.3456924755
1107,97.4739970282
1109,98.7585350714
1111,75.6365451822
1113,98.6551392891
1117,47.1223021583
1115,33.5047129392
1119,98.041136141
1121,84.3055555556
1123,96.5613754498
1125,96.1577868852
1127,59.5566977192
1129,99.424184261
1131,99.3144815767
1133,-8.96159317212
