fips,data
19001,-37.7026796382
19003,-32.6107899807
19005,-32.3215853506
19007,-14.5343777198
19009,-21.3782882549
19011,-14.9102263856
19013,-17.2501054407
19015,-20.4502814259
19017,-31.7936694021
19019,-26.0500496086
19021,-33.5323383085
19023,-51.6688918558
19025,-29.4065149487
19027,-9.83037397084
19029,-45.5828087693
19031,-34.4790027835
19033,-14.5704793545
19035,-32.457259505
19037,-16.2033898305
19039,-31.2485837299
19041,-30.8605341246
19043,-17.841163311
19045,-27.4172887495
19047,-15.5225069712
19049,-24.6839202376
19051,-13.8316656857
19053,-15.468256752
19055,-35.0415012631
19057,-15.8876639896
19059,-25.5796275181
19061,7.88510992792
19063,-42.6673148598
19065,-24.9749092874
19067,-27.0069944671
19069,-42.9540548874
19071,-23.229054297
19073,-33.6963097399
19075,-48.9214059436
19077,-38.4987893462
19079,-37.3375559681
19081,-36.3827866386
19083,-33.5096104953
19085,-21.7303370787
19087,-40.2069127675
19089,-13.1933563146
19091,-30.2740599108
19093,-33.2238867228
19095,-31.0035087719
19097,-19.974779319
19099,-11.6311340987
19101,-33.6877593361
19103,-9.58371578209
19105,-26.1292564281
19107,-23.1971153846
19109,-15.9346178431
19111,-10.8665058303
19113,-9.20849420849
19115,-36.8093385214
19117,-27.5480687426
19119,-50.0609013398
19121,-35.3120243531
19123,-31.9589702333
19125,-12.6421177668
19127,-25.4456388624
19129,-37.0689655172
19131,-35.6582125604
19133,-18.4091840918
19135,-10.6246663107
19137,-42.5953815261
19139,-17.7404998288
19141,-43.7256251434
19143,-33.1132075472
19145,-50.7778581766
19147,-10.3448275862
19149,-36.1556294728
19151,-18.9821882952
19153,-7.21620187936
19155,-20.4905433402
19157,-23.1170007928
19159,-39.9542334096
19161,-36.271919289
19163,-13.9194220865
19165,-22.0089403103
19167,-61.6727780688
19169,-38.5115564225
19171,-18.7873134328
19173,-39.3819203437
19175,-36.8608950657
19177,-32.871324218
19179,-4.61757719715
19181,-35.1793433812
19183,-37.1490514905
19185,-20.549273021
19187,-15.2167101828
19189,-45.2465084974
19191,-24.9799518845
19193,-11.2238455988
19195,-22.9424913635
19197,-30.4413185869
