fips,data
19001,-33.5704125178
19003,-34.6730653869
19005,-23.8745731139
19007,-17.1461449942
19009,-2.19518645861
19011,-17.1102661597
19013,-20.8074721302
19015,-18.629617935
19017,-23.7224761113
19019,-21.2759270899
19021,-21.9543147208
19023,-44.4661140907
19025,-12.6453848057
19027,2.28382422429
19029,-32.9204693611
19031,-33.5786212239
19033,-6.80602419554
19035,-29.2867264998
19037,-5.10566672901
19039,-31.661237785
19041,-4.57956015524
19043,-16.847155586
19045,-17.7912132205
19047,-8.10592278148
19049,-27.0495396756
19051,3.35045243336
19053,-5.61844000823
19055,-41.2718894009
19057,-29.2138398053
19059,7.5583420411
19061,14.0633315593
19063,-19.0416925949
19065,-24.4890186619
19067,-38.0119136262
19069,-33.7585868499
19071,-10.6142728094
19073,-32.1399946567
19075,-33.316035288
19077,-23.572815534
19079,-31.7291165349
19081,-31.0179640719
19083,-31.0557939914
19085,-15.6694266521
19087,-41.6290409969
19089,-2.98832376806
19091,-33.3533473431
19093,-35.0155547874
19095,-8.54058222479
19097,-3.05841924399
19099,-16.9917690833
19101,-37.3895582329
19103,9.8023715415
19105,-22.1856027754
19107,-17.2424151397
19109,-1.91238301912
19111,-18.1517561891
19113,-31.4041018706
19115,-37.3162939297
19117,-26.8711656442
19119,-26.5148861646
19121,-31.4895470383
19123,-13.8053097345
19125,-0.981976382846
19127,-37.532808399
19129,-38.5727190605
19131,-20.2343177935
19133,-8.11744386874
19135,-5.72000890274
19137,-39.0112359551
19139,-33.6248012719
19141,-31.9577735125
19143,-9.45109368551
19145,-48.9418878065
19147,-2.96937105448
19149,-22.6116178589
19151,-5.27983104541
19153,-10.9102328294
19155,-23.3988585923
19157,-21.5141517625
19159,-40.5579399142
19161,-34.7635299854
19163,-9.95266069697
19165,1.10301768991
19167,-46.8651488616
19169,-30.1465733527
19171,-13.4339815763
19173,-37.0482629984
19175,-31.152758133
19177,-37.3847926267
19179,-3.85078219013
19181,-25.4988101776
19183,-36.0809833695
19185,-9.7192224622
19187,-11.0113276865
19189,-30.3409090909
19191,-7.92158968851
19193,-14.8315736551
19195,-15.8844765343
19197,-36.2962962963
