fips,data
19001,-38.5074626866
19003,-33.3333333333
19005,-19.4458312531
19007,-34.5354762838
19009,0.510204081633
19011,-26.3146167558
19013,-39.2524035012
19015,-42.3084200568
19017,-10.4341637011
19019,-31.0106856634
19021,-32.1985446985
19023,-43.7059264816
19025,-21.3436995746
19027,20.8908159243
19029,-39.7260273973
19031,-31.7238573172
19033,-32.2567287785
19035,-18.2753403933
19037,-0.637115358547
19039,-25.7349615559
19041,-31.7685950413
19043,-23.107678328
19045,-17.441971535
19047,13.3526667507
19049,-40.2422611036
19051,-9.51202263083
19053,-19.1476499924
19055,-27.8311395707
19057,-30.815503876
19059,-41.7597765363
19061,33.2168191632
19063,-40.2178649237
19065,-34.4947173159
19067,-46.4705123242
19069,-33.9593114241
19071,-12.0735317028
19073,-36.3463368221
19075,-38.7639387639
19077,-36.2066504924
19079,-16.7366358802
19081,-23.4000396275
19083,-41.4363277394
19085,-11.976825492
19087,-43.075003466
19089,-2.77101096224
19091,-25.4936765032
19093,-6.74109059682
19095,-14.1780630756
19097,-11.937654977
19099,-40.6661026075
19101,-38.9940661204
19103,-0.739512060267
19105,-26.2087775849
19107,-16.8796826796
19109,-1.47701268983
19111,-19.8661863098
19113,-36.9602066349
19115,-38.4192730347
19117,-33.7427618881
19119,-32.0283215327
19121,-33.4148578416
19123,-39.4398183195
19125,-20.4294834591
19127,-46.7505900865
19129,-22.2895863053
19131,-20.9859637111
19133,-13.812490503
19135,-18.0404128507
19137,-42.5214265966
19139,-35.9349079706
19141,-33.8028169014
19143,-14.1840087623
19145,-48.690340615
19147,-9.83190612115
19149,1.69319679611
19151,-8.10283110966
19153,-36.3863581392
19155,-18.3395853085
19157,-30.3162895362
19159,-40.0686237133
19161,-29.7745454545
19163,-13.4777376655
19165,2.0529520034
19167,-38.3964413584
19169,-53.8003234318
19171,-7.6152883412
19173,-38.765869501
19175,-34.4055424966
19177,-33.5157318741
19179,-33.3333333333
19181,-40.5548918094
19183,-36.7042059297
19185,-20.5238828968
19187,-13.5001997071
19189,-45.509239364
19191,-5.7074539973
19193,-10.0379496499
19195,-38.0761049397
19197,-32.6813796749
