fips,DEMOCRAT,REPUBLICAN
1001.0,5936.0,18172.0
1003.0,18458.0,72883.0
1005.0,4871.0,5454.0
1007.0,1874.0,6738.0
1009.0,2156.0,22859.0
1011.0,3530.0,1140.0
1013.0,3726.0,4901.0
1015.0,13242.0,32865.0
1017.0,5784.0,7843.0
1019.0,1547.0,8953.0
1021.0,2911.0,15081.0
1023.0,3109.0,4106.0
1025.0,5749.0,7140.0
1027.0,1237.0,5245.0
1029.0,684.0,5764.0
1031.0,4221.0,15875.0
1033.0,7312.0,16746.0
1035.0,3080.0,3420.0
1037.0,1782.0,3381.0
1039.0,2387.0,13267.0
1041.0,1664.0,4513.0
1043.0,3798.0,32989.0
1045.0,4413.0,13808.0
1047.0,12836.0,5789.0
1049.0,3622.0,21405.0
1051.0,8443.0,27634.0
1053.0,4605.0,9935.0
1055.0,10442.0,32353.0
1057.0,1362.0,6712.0
1059.0,2197.0,9466.0
1061.0,1525.0,9994.0
1063.0,4013.0,838.0
1065.0,4775.0,3173.0
1067.0,2292.0,5632.0
1069.0,10664.0,30728.0
1071.0,3673.0,16672.0
1073.0,156873.0,134768.0
1075.0,1036.0,5823.0
1077.0,9952.0,27899.0
1079.0,3627.0,10833.0
1081.0,21230.0,34617.0
1083.0,9468.0,29067.0
1085.0,4883.0,1751.0
1087.0,7566.0,1431.0
1089.0,62822.0,89520.0
1091.0,5615.0,5233.0
1093.0,1432.0,11274.0
1095.0,4917.0,29233.0
1097.0,72186.0,95116.0
1099.0,4332.0,5795.0
1101.0,58916.0,34003.0
1103.0,11254.0,37486.0
1105.0,3824.0,1407.0
1107.0,3972.0,5456.0
1109.0,5056.0,7693.0
1111.0,2291.0,7705.0
1113.0,9579.0,9210.0
1115.0,5589.0,31651.0
1117.0,22977.0,73020.0
1119.0,4746.0,1581.0
1121.0,12121.0,20614.0
1123.0,5519.0,13594.0
1125.0,31762.0,47723.0
1127.0,4497.0,24266.0
1129.0,2374.0,6042.0
1131.0,4339.0,1737.0
1133.0,872.0,9228.0
4001.0,17083.0,8240.0
4003.0,17450.0,28092.0
4005.0,32404.0,21108.0
4007.0,7003.0,14182.0
4009.0,3301.0,8025.0
4011.0,1092.0,1892.0
4012.0,1575.0,4003.0
4013.0,702907.0,747361.0
4015.0,17455.0,58282.0
4017.0,16459.0,20577.0
4019.0,224661.0,167428.0
4021.0,47892.0,72819.0
4023.0,11690.0,3897.0
4025.0,35590.0,71330.0
4027.0,24605.0,25165.0
5001.0,1939.0,3826.0
5003.0,2408.0,5338.0
5005.0,4169.0,14682.0
5007.0,28005.0,60871.0
5009.0,2926.0,12235.0
5011.0,1317.0,2164.0
5013.0,639.0,1556.0
5015.0,3342.0,6786.0
5017.0,2350.0,1716.0
5019.0,3620.0,4404.0
5021.0,1199.0,3781.0
5023.0,2101.0,9458.0
5025.0,723.0,2462.0
5027.0,3140.0,5456.0
5029.0,2656.0,4849.0
5031.0,10538.0,22892.0
5033.0,4488.0,16686.0
5035.0,8410.0,6964.0
5037.0,1999.0,4584.0
5039.0,1165.0,1509.0
5041.0,2228.0,1919.0
5043.0,2365.0,3968.0
5045.0,14629.0,29346.0
5047.0,1376.0,5039.0
5049.0,1067.0,3471.0
5051.0,12311.0,26087.0
5053.0,1373.0,5725.0
5055.0,3071.0,10720.0
5057.0,2377.0,4401.0
5059.0,3149.0,8172.0
5061.0,1351.0,3157.0
5063.0,2881.0,9936.0
5065.0,1113.0,4042.0
5067.0,1583.0,3267.0
5069.0,15772.0,9250.0
5071.0,2427.0,6091.0
5073.0,1032.0,1758.0
5075.0,1263.0,4064.0
5077.0,1735.0,1229.0
5079.0,1252.0,2455.0
5081.0,1397.0,3605.0
5083.0,1715.0,5746.0
5085.0,5664.0,19958.0
5087.0,1588.0,4928.0
5089.0,1434.0,5336.0
5091.0,4273.0,11294.0
5093.0,5670.0,7061.0
5095.0,1312.0,1489.0
5097.0,748.0,2643.0
5099.0,1157.0,2000.0
5101.0,699.0,2875.0
5103.0,4321.0,5351.0
5105.0,1049.0,3008.0
5107.0,4310.0,2446.0
5109.0,685.0,3150.0
5111.0,1880.0,5502.0
5113.0,1212.0,6618.0
5115.0,5000.0,16256.0
5117.0,814.0,2505.0
5119.0,89574.0,61257.0
5121.0,1425.0,4509.0
5123.0,4031.0,3195.0
5125.0,13256.0,35863.0
5127.0,602.0,2731.0
5129.0,601.0,2955.0
5131.0,12300.0,29127.0
5133.0,1075.0,3282.0
5135.0,1472.0,5407.0
5137.0,1203.0,4113.0
5139.0,5855.0,10456.0
5141.0,1549.0,5382.0
5143.0,33366.0,41476.0
5145.0,5170.0,21077.0
5147.0,1118.0,1347.0
5149.0,1480.0,4608.0
