fips,data
1001,95.9390862944
1003,85.0322580645
1005,98.9569752282
1007,95.4907161804
1009,62.0637329287
1011,100
1013,97.4126778784
1015,89.6080218778
1017,98.4375
1019,83.6846929423
1021,32.4545987112
1023,100
1025,99.7252747253
1027,59.1772151899
1029,43.3628318584
1031,98.3313468415
1033,85.0715746421
1035,98.9120580236
1037,80.0995024876
1039,98.1642512077
1041,98.9683124539
1043,38.137969714
1045,93.0724823605
1047,98.7975951904
1049,22.7420402859
1051,97.6762199845
1053,98.2919254658
1055,80.9429477021
1057,51.0156703424
1059,12.3462214411
1061,95.2380952381
1063,98.6893840105
1065,None
1067,99.1452991453
1069,94.0786115365
1071,70.0316885469
1073,87.6654481281
1075,97.8928624425
1077,84.8392554992
1079,77.4444444444
1081,93.7753721245
1083,98.3547557841
1085,99.7175141243
1087,97.9262672811
1089,93.2229299363
1091,99.5542347697
1093,59.0134529148
1095,77.8538812785
1097,82.9290206649
1099,99.0602975724
1101,96.232027764
1103,88.8854393046
1105,99.1275899673
1107,97.5572519084
1109,98.7661937076
1111,75.6268806419
1113,98.6564299424
1117,46.3697376449
1115,30.0060132291
1119,98.0334316618
1121,85.1565247977
1123,96.5613754498
1125,96.0319505282
1127,58.2326658944
1129,99.6168582375
1131,99.4854202401
1133,-6.66049953747
