fips,data
1001,73.4556574924
1003,54.6489956513
1005,92.6375054136
1007,78.5485592316
1009,62.0932048946
1011,91.8060200669
1013,76.9489247312
1015,73.3251193593
1017,87.0783601453
1019,83.8311019567
1021,34.2274272762
1023,97.7653631285
1025,88.4968583857
1027,66.1395348837
1029,67.9516250945
1031,96.4592554022
1033,82.6049882754
1035,87.4193548387
1037,77.4798927614
1039,85.8915741346
1041,96.5082444229
1043,54.5147898287
1045,87.5419262099
1047,75.2919483712
1049,11.3429145418
1051,86.9305297877
1053,83.2357473035
1055,65.9016954958
1057,62.6815642458
1059,30.5409466566
1061,91.8169819622
1063,87.7551020408
1065,75.0577367206
1067,90.813648294
1069,81.2417437252
1071,79.1817422766
1073,46.2923750176
1075,85.944820406
1077,81.021416804
1079,72.5507900677
1081,80.4548685146
1083,93.7748344371
1085,74.9730312837
1087,86.4214992928
1089,82.4477830707
1091,79.7556719023
1093,69.9968284174
1095,75.2300984983
1097,65.5279182578
1099,89.3264248705
1101,63.7973640857
1103,81.4617839234
1105,81.5358067299
1107,84.0180078784
1109,91.9215686275
1111,71.0152838428
1113,87.1179039301
1117,52.7844391154
1115,48.6168173103
1119,84.2696629213
1121,61.9559376679
1123,91.5071090047
1125,68.2850653038
1127,61.7250673854
1129,90.7314349525
1131,76.5106382979
1133,-1.42897170076
